,condition,time,type
2004,Supervised,3.219967457,Drawing attention
2005,Supervised,0.456879022,Drawing attention
2006,Supervised,1.617971209,Drawing attention
2007,Supervised,5.104965333,Drawing attention
2008,Supervised,1.999324839,Drawing attention
2009,Supervised,1.338550676,Drawing attention
2010,Supervised,2.333826681,Drawing attention
2011,Supervised,2.321966114,Drawing attention
2012,Supervised,10.403220017,Drawing attention
2013,Supervised,3.200155804,Drawing attention
2014,Supervised,2.041464534,Drawing attention
2015,Supervised,0.012747587,Drawing attention
2016,Supervised,2.870005797,Drawing attention
2017,Supervised,0.54605381,Drawing attention
2018,Supervised,2.36910572,Drawing attention
2019,Supervised,8.337651245,Drawing attention
2020,Supervised,5.219553833,Drawing attention
2021,Supervised,4.93306454,Drawing attention
2022,Supervised,5.117364176,Drawing attention
2023,Supervised,7.968090525,Drawing attention
2024,Supervised,0.621390324,Drawing attention
2025,Supervised,4.508976882,Drawing attention
2026,Supervised,8.616457307,Drawing attention
2027,Supervised,5.943046896,Drawing attention
2028,Supervised,6.32528643,Drawing attention
2029,Supervised,1.60755988,Drawing attention
2030,Supervised,0.081699566,Drawing attention
2031,Supervised,7.575242273,Drawing attention
2032,Supervised,5.452864957,Drawing attention
2033,Supervised,4.421328869,Drawing attention
2034,Supervised,4.62427877,Drawing attention
2035,Supervised,0.919112314,Drawing attention
2036,Supervised,0.552237184,Drawing attention
2037,Supervised,1.22183013,Drawing attention
2038,Supervised,4.072381862,Drawing attention
2039,Supervised,2.099270057,Drawing attention
2040,Supervised,1.809610965,Drawing attention
2041,Supervised,2.548697525,Drawing attention
2042,Supervised,0.943325473,Drawing attention
2043,Supervised,1.042507637,Drawing attention
2044,Supervised,4.218970643,Drawing attention
2045,Supervised,11.050960233,Drawing attention
2046,Supervised,1.975114131,Drawing attention
2047,Supervised,6.916202521,Drawing attention
2048,Supervised,5.385751633,Drawing attention
2049,Supervised,1.778169006,Drawing attention
2050,Supervised,15.386329779,Drawing attention
2051,Supervised,2.131395952,Drawing attention
2052,Supervised,16.11809732,Drawing attention
2053,Supervised,1.254580179,Drawing attention
2054,Supervised,9.065922143,Drawing attention
2055,Supervised,4.285969223,Drawing attention
2056,Supervised,6.541590796,Drawing attention
2057,Supervised,3.527397058,Drawing attention
2058,Supervised,1.790208598,Drawing attention
2059,Supervised,2.114079968,Drawing attention
2060,Supervised,8.563148465,Drawing attention
2061,Supervised,2.079979757,Drawing attention
2062,Supervised,5.508941414,Drawing attention
2063,Supervised,1.345963878,Drawing attention
2064,Supervised,1.963945382,Drawing attention
2065,Supervised,3.032287171,Drawing attention
2066,Supervised,3.138147628,Drawing attention
2067,Supervised,1.657344488,Drawing attention
2068,Supervised,4.80485794,Drawing attention
2069,Supervised,2.129849434,Drawing attention
2070,Supervised,7.578192812,Drawing attention
2071,Supervised,7.030930583,Drawing attention
2072,Supervised,4.673671063,Drawing attention
2073,Supervised,5.177880524,Drawing attention
2074,Supervised,7.014587983,Drawing attention
2075,Supervised,9.459513485,Drawing attention
2076,Supervised,1.184039814,Drawing attention
2077,Supervised,7.285894385,Drawing attention
2078,Supervised,3.722990134,Drawing attention
2079,Supervised,7.799982657,Drawing attention
2080,Supervised,0.397917322,Drawing attention
2081,Supervised,0.446450226,Drawing attention
2082,Supervised,2.265246183,Drawing attention
2083,Supervised,3.352732853,Drawing attention
2084,Supervised,1.40591802,Drawing attention
2085,Supervised,11.202581626,Drawing attention
2086,Supervised,19.239826783,Drawing attention
2087,Supervised,5.895595516,Drawing attention
2088,Supervised,2.27352686,Drawing attention
2089,Supervised,6.03484918,Drawing attention
2090,Supervised,1.918096802,Drawing attention
2091,Supervised,2.326223309,Drawing attention
2092,Supervised,4.803509324,Drawing attention
2093,Supervised,1.036801264,Drawing attention
2094,Supervised,2.111301705,Drawing attention
2095,Autonomous,2.767836163,Drawing attention
2096,Autonomous,1.683262516,Drawing attention
2097,Autonomous,0.481711824,Drawing attention
2098,Autonomous,4.024139436,Drawing attention
2099,Autonomous,5.940847146,Drawing attention
2100,Autonomous,2.039984992,Drawing attention
2101,Autonomous,1.459589571,Drawing attention
2102,Autonomous,9.284334035,Drawing attention
2103,Autonomous,5.82437698,Drawing attention
2104,Autonomous,1.3300729,Drawing attention
2105,Autonomous,2.577031154,Drawing attention
2106,Autonomous,2.260648898,Drawing attention
2107,Autonomous,7.787319769,Drawing attention
2108,Autonomous,1.648385148,Drawing attention
2109,Autonomous,2.47028705,Drawing attention
2110,Autonomous,5.340874605,Drawing attention
2111,Autonomous,2.341981837,Drawing attention
2112,Autonomous,10.982977165,Drawing attention
2113,Autonomous,13.63833135,Drawing attention
2114,Autonomous,0.188121893,Drawing attention
2115,Autonomous,2.556170329,Drawing attention
2116,Autonomous,0.041811584,Drawing attention
2117,Autonomous,12.547924089,Drawing attention
2118,Autonomous,1.394456818,Drawing attention
2119,Autonomous,2.877136224,Drawing attention
2120,Autonomous,3.328113883,Drawing attention
2121,Autonomous,19.095288156,Drawing attention
2122,Autonomous,4.272642253,Drawing attention
2123,Autonomous,6.939884823,Drawing attention
2124,Autonomous,3.510853051,Drawing attention
2125,Autonomous,3.222566767,Drawing attention
2126,Autonomous,4.051340497,Drawing attention
2127,Autonomous,2.616380821,Drawing attention
2128,Autonomous,15.673620857,Drawing attention
2129,Autonomous,2.601643872,Drawing attention
2130,Autonomous,5.174495717,Drawing attention
2131,Autonomous,3.318085062,Drawing attention
2132,Autonomous,2.116696735,Drawing attention
2133,Autonomous,3.577208183,Drawing attention
2134,Autonomous,1.559254424,Drawing attention
2135,Autonomous,0.630539132,Drawing attention
2136,Autonomous,1.719240277,Drawing attention
2137,Autonomous,2.12543549,Drawing attention
2138,Autonomous,0.514997491,Drawing attention
2139,Autonomous,9.999582083,Drawing attention
2140,Autonomous,5.611387044,Drawing attention
2141,Autonomous,0.34425196,Drawing attention
2142,Autonomous,3.680906017,Drawing attention
2143,Autonomous,0.261266547,Drawing attention
2144,Autonomous,0.736392891,Drawing attention
2145,Autonomous,2.64578421,Drawing attention
2146,Autonomous,0.315318968,Drawing attention
2147,Autonomous,2.964823332,Drawing attention
2148,Autonomous,2.896586841,Drawing attention
2149,Autonomous,0.754982575,Drawing attention
2150,Autonomous,4.056743821,Drawing attention
2151,Autonomous,3.43268481,Drawing attention
2152,Autonomous,8.134421339,Drawing attention
2153,Autonomous,0.975011601,Drawing attention
2154,Autonomous,2.437797986,Drawing attention
2155,Autonomous,0.994222593,Drawing attention
2156,Autonomous,2.309353872,Drawing attention
2157,Autonomous,6.725666745,Drawing attention
2158,Autonomous,1.937095886,Drawing attention
2159,Autonomous,3.559729923,Drawing attention
2160,Autonomous,11.346227823,Drawing attention
2161,Autonomous,2.736973783,Drawing attention
2162,Autonomous,0.123246299,Drawing attention
2163,Autonomous,1.492937254,Drawing attention
2164,Autonomous,16.198526101,Drawing attention
2165,Autonomous,3.074653183,Drawing attention
2166,Autonomous,15.807842561,Drawing attention
2167,Autonomous,0.052661613,Drawing attention
2168,Autonomous,0.595200734,Drawing attention
2169,Autonomous,3.265993375,Drawing attention
2170,Autonomous,3.41597119,Drawing attention
2171,Autonomous,3.407215091,Drawing attention
2172,Autonomous,17.781623251,Drawing attention
2173,Autonomous,7.779815793,Drawing attention
2174,Autonomous,1.07753941,Drawing attention
2175,Autonomous,2.098773247,Drawing attention
2176,Autonomous,3.523173558,Drawing attention
2177,Autonomous,6.253808507,Drawing attention
2178,Autonomous,2.850907864,Drawing attention
2179,Autonomous,15.114831998,Drawing attention
2180,Autonomous,2.259875666,Drawing attention
2181,Autonomous,4.403608655,Drawing attention
2182,Autonomous,8.962124361,Drawing attention
2183,Autonomous,19.777867567,Drawing attention
2184,Autonomous,3.86221771,Drawing attention
2185,Autonomous,7.594311002,Drawing attention
2186,Autonomous,2.550009849,Drawing attention
2187,Autonomous,5.298984058,Drawing attention
2188,Autonomous,1.057859978,Drawing attention
2189,Autonomous,5.154547805,Drawing attention
2190,Autonomous,8.351748027,Drawing attention
2191,Autonomous,2.5339413,Drawing attention
2192,Autonomous,1.030339773,Drawing attention
2193,Autonomous,19.610341891,Drawing attention
2194,Autonomous,8.604471596,Drawing attention
2195,Autonomous,4.281209839,Drawing attention
2196,Autonomous,6.06796679,Drawing attention
2197,Autonomous,0.809018774,Drawing attention
2198,Autonomous,9.258561583,Drawing attention
2199,Autonomous,3.018750407,Drawing attention
2200,Autonomous,5.756411403,Drawing attention
2201,Autonomous,1.564339882,Drawing attention
2202,Autonomous,11.568951968,Drawing attention
2203,Autonomous,0.092105055,Drawing attention
2204,Autonomous,2.168961583,Drawing attention
2205,Autonomous,1.561998233,Drawing attention
2206,Autonomous,4.465646725,Drawing attention
2207,Autonomous,4.611587412,Drawing attention
2208,Autonomous,3.247588864,Drawing attention
2209,Autonomous,6.240619597,Drawing attention
2210,Autonomous,13.262172593,Drawing attention
2211,Autonomous,10.412638955,Drawing attention
2212,Autonomous,2.870369998,Drawing attention
2213,Autonomous,1.77869545,Drawing attention
