,condition,time,type
491,Autonomous,1.258306748,congratulation
492,Autonomous,1.408259512,congratulation
493,Autonomous,2.904465793,congratulation
494,Autonomous,3.999224234,congratulation
495,Autonomous,0.203305169,congratulation
496,Autonomous,0.934510687,congratulation
497,Autonomous,3.116593407,congratulation
498,Autonomous,0.067491985,congratulation
499,Autonomous,0.03677642,congratulation
500,Autonomous,0.356899233,congratulation
501,Autonomous,0.003377758,congratulation
502,Autonomous,1.341737966,congratulation
503,Autonomous,0.616189128,congratulation
504,Autonomous,1.470907521,congratulation
505,Autonomous,1.784742728,congratulation
506,Autonomous,0.064640513,congratulation
507,Autonomous,2.932783874,congratulation
508,Autonomous,0.372763214,congratulation
509,Autonomous,0.853286867,congratulation
510,Autonomous,2.42488194,congratulation
511,Autonomous,1.797385125,congratulation
512,Autonomous,1.674938465,congratulation
513,Autonomous,1.903338814,congratulation
514,Autonomous,1.109137999,congratulation
515,Autonomous,0.721049949,congratulation
516,Autonomous,1.534708832,congratulation
517,Autonomous,5.359992465,congratulation
518,Autonomous,1.346227502,congratulation
519,Autonomous,2.89828327,congratulation
520,Autonomous,3.163667486,congratulation
521,Autonomous,0.845895002,congratulation
522,Autonomous,1.890658242,congratulation
523,Autonomous,0.579728134,congratulation
524,Autonomous,0.144321999,congratulation
525,Autonomous,0.782278742,congratulation
526,Autonomous,1.463894289,congratulation
527,Autonomous,0.248795265,congratulation
528,Autonomous,0.727057667,congratulation
529,Autonomous,0.190854512,congratulation
530,Autonomous,0.515717859,congratulation
531,Autonomous,1.181927274,congratulation
532,Autonomous,0.032916088,congratulation
533,Autonomous,1.797363979,congratulation
534,Autonomous,1.460868267,congratulation
535,Autonomous,0.368223219,congratulation
536,Autonomous,1.935289237,congratulation
537,Autonomous,2.42370429,congratulation
538,Autonomous,1.616844812,congratulation
539,Autonomous,0.55535646,congratulation
540,Autonomous,0.54927834,congratulation
541,Autonomous,1.603911676,congratulation
542,Autonomous,3.904489181,congratulation
543,Autonomous,1.247553936,congratulation
544,Autonomous,4.33973841,congratulation
545,Autonomous,1.516430805,congratulation
546,Autonomous,1.996655382,congratulation
547,Autonomous,0.783075646,congratulation
548,Autonomous,1.308976814,congratulation
549,Autonomous,0.043573419,congratulation
550,Autonomous,1.62122989,congratulation
551,Autonomous,1.948962274,congratulation
552,Autonomous,2.230753553,congratulation
553,Autonomous,1.560527875,congratulation
554,Autonomous,0.258323693,congratulation
555,Autonomous,1.913310444,congratulation
556,Autonomous,2.414515616,congratulation
557,Autonomous,1.067852933,congratulation
558,Autonomous,1.362464908,congratulation
559,Autonomous,1.058765825,congratulation
560,Autonomous,1.553958612,congratulation
561,Autonomous,5.65919291,congratulation
562,Autonomous,1.556534212,congratulation
563,Autonomous,0.738848226,congratulation
564,Autonomous,0.648459941,congratulation
565,Autonomous,0.059054119,congratulation
566,Autonomous,1.558191199,congratulation
567,Autonomous,1.239606117,congratulation
568,Autonomous,1.140971061,congratulation
569,Autonomous,0.927701223,congratulation
570,Autonomous,1.174512607,congratulation
571,Autonomous,0.271139038,congratulation
572,Autonomous,1.291556008,congratulation
573,Autonomous,1.871109127,congratulation
574,Autonomous,2.115419503,congratulation
575,Autonomous,4.041465653,congratulation
576,Autonomous,1.415926447,congratulation
577,Autonomous,2.88197746,congratulation
578,Autonomous,1.159707601,congratulation
579,Autonomous,1.254930185,congratulation
580,Autonomous,1.726193254,congratulation
581,Autonomous,2.799141893,congratulation
582,Autonomous,1.950931393,congratulation
583,Autonomous,1.930908885,congratulation
584,Autonomous,2.814928098,congratulation
585,Autonomous,3.150260921,congratulation
586,Autonomous,1.334067255,congratulation
587,Autonomous,1.58401531,congratulation
588,Autonomous,0.677896668,congratulation
589,Autonomous,1.778647927,congratulation
590,Autonomous,2.327751026,congratulation
591,Autonomous,0.651787819,congratulation
592,Autonomous,1.905919198,congratulation
593,Autonomous,3.567696777,congratulation
594,Autonomous,1.856890154,congratulation
595,Autonomous,0.983092343,congratulation
596,Autonomous,1.541645782,congratulation
597,Autonomous,1.173732509,congratulation
598,Autonomous,0.977844191,congratulation
599,Autonomous,1.313195538,congratulation
600,Autonomous,5.813035325,congratulation
601,Autonomous,2.174944291,congratulation
602,Autonomous,0.275022683,congratulation
603,Autonomous,1.363359099,congratulation
604,Autonomous,1.864360517,congratulation
605,Autonomous,5.237126258,congratulation
606,Autonomous,3.795165498,congratulation
607,Autonomous,0.291524945,congratulation
608,Autonomous,0.251963328,congratulation
609,Autonomous,2.171330964,congratulation
610,Autonomous,0.198328885,congratulation
611,Autonomous,0.418150059,congratulation
612,Autonomous,0.084287073,congratulation
613,Autonomous,0.673360415,congratulation
614,Autonomous,0.316514343,congratulation
615,Autonomous,0.025859119,congratulation
616,Autonomous,1.513129998,congratulation
617,Autonomous,1.203108477,congratulation
618,Autonomous,0.026565525,congratulation
619,Autonomous,0.523190991,congratulation
620,Autonomous,1.662570624,congratulation
621,Autonomous,1.889955373,congratulation
622,Autonomous,3.054375909,congratulation
623,Autonomous,3.264978986,congratulation
624,Autonomous,2.656798321,congratulation
625,Autonomous,1.321151629,congratulation
626,Autonomous,2.1459433,congratulation
627,Autonomous,0.508298263,congratulation
628,Autonomous,3.573890464,congratulation
