,condition,time,type
849,Supervised,3.976747455,Encouragement
850,Supervised,1.037683278,Encouragement
851,Supervised,1.869817303,Encouragement
852,Supervised,5.354264621,Encouragement
853,Supervised,2.219521667,Encouragement
854,Supervised,0.0565477,Encouragement
855,Supervised,0.549899744,Encouragement
856,Supervised,3.506989607,Encouragement
857,Supervised,6.266016367,Encouragement
858,Supervised,1.47686186,Encouragement
859,Supervised,1.369267602,Encouragement
860,Supervised,7.027510495,Encouragement
861,Supervised,2.930709954,Encouragement
862,Supervised,2.216427061,Encouragement
863,Supervised,3.394114702,Encouragement
864,Supervised,2.037864151,Encouragement
865,Supervised,5.139788424,Encouragement
866,Supervised,3.47111916,Encouragement
867,Supervised,2.885609224,Encouragement
868,Supervised,6.178657969,Encouragement
869,Supervised,1.666066451,Encouragement
870,Supervised,1.621550855,Encouragement
871,Supervised,12.517908416,Encouragement
872,Supervised,2.211682302,Encouragement
873,Supervised,6.636604552,Encouragement
874,Supervised,11.128762768,Encouragement
875,Supervised,0.299578747,Encouragement
876,Supervised,7.289591676,Encouragement
877,Supervised,0.205881568,Encouragement
878,Supervised,6.229136074,Encouragement
879,Supervised,2.209554301,Encouragement
880,Supervised,3.978620804,Encouragement
881,Supervised,6.34637071,Encouragement
882,Supervised,1.648812347,Encouragement
883,Supervised,4.898009035,Encouragement
884,Supervised,2.600841665,Encouragement
885,Supervised,3.347418845,Encouragement
886,Supervised,1.299177368,Encouragement
887,Supervised,15.707593876,Encouragement
888,Supervised,0.469559722,Encouragement
889,Supervised,6.494598818,Encouragement
890,Supervised,3.128971209,Encouragement
891,Supervised,7.752325485,Encouragement
892,Supervised,5.534409132,Encouragement
893,Supervised,4.873175365,Encouragement
894,Supervised,5.297869512,Encouragement
895,Supervised,1.050855905,Encouragement
896,Supervised,2.183248879,Encouragement
897,Supervised,3.32256135,Encouragement
898,Supervised,7.328171733,Encouragement
899,Supervised,0.84912002,Encouragement
900,Supervised,4.730363882,Encouragement
901,Supervised,5.65199414,Encouragement
902,Supervised,9.910549469,Encouragement
903,Supervised,13.280560871,Encouragement
904,Supervised,1.013867749,Encouragement
905,Supervised,1.272600577,Encouragement
906,Supervised,5.749916792,Encouragement
907,Supervised,6.060157267,Encouragement
908,Supervised,4.24497318,Encouragement
909,Supervised,1.692978554,Encouragement
910,Supervised,2.654312479,Encouragement
911,Supervised,0.091101733,Encouragement
912,Supervised,1.756708141,Encouragement
913,Supervised,2.266359556,Encouragement
914,Supervised,3.83109236,Encouragement
915,Supervised,0.92409894,Encouragement
916,Supervised,2.796743287,Encouragement
917,Supervised,7.02068561,Encouragement
918,Supervised,0.554429262,Encouragement
919,Supervised,3.990707833,Encouragement
920,Supervised,2.045774184,Encouragement
921,Supervised,4.886807169,Encouragement
922,Supervised,1.891171807,Encouragement
923,Supervised,0.394348646,Encouragement
924,Supervised,5.86034806,Encouragement
925,Supervised,6.504011096,Encouragement
926,Supervised,5.92284172,Encouragement
927,Supervised,5.991301359,Encouragement
928,Supervised,5.697868658,Encouragement
929,Supervised,5.502072186,Encouragement
930,Supervised,8.903438976,Encouragement
931,Supervised,0.709372298,Encouragement
932,Supervised,0.383773629,Encouragement
933,Supervised,0.205082194,Encouragement
934,Supervised,1.458431036,Encouragement
935,Supervised,0.798287545,Encouragement
936,Supervised,9.285405936,Encouragement
937,Supervised,1.128075336,Encouragement
938,Supervised,2.490398123,Encouragement
939,Supervised,3.593788028,Encouragement
940,Supervised,2.50836155,Encouragement
941,Supervised,1.522838099,Encouragement
942,Supervised,6.819260107,Encouragement
943,Supervised,1.105719469,Encouragement
944,Supervised,1.575677292,Encouragement
945,Supervised,4.68851122,Encouragement
946,Supervised,4.466723257,Encouragement
947,Supervised,0.397350472,Encouragement
948,Supervised,1.366562597,Encouragement
949,Supervised,2.515341085,Encouragement
950,Supervised,7.704325128,Encouragement
951,Supervised,2.399565597,Encouragement
952,Supervised,1.211369643,Encouragement
953,Supervised,2.139864927,Encouragement
954,Supervised,1.259254096,Encouragement
