,condition,time,type
849,Supervised,3.976747455,Encouragements
850,Supervised,1.037683278,Encouragements
851,Supervised,1.869817303,Encouragements
852,Supervised,5.354264621,Encouragements
853,Supervised,2.219521667,Encouragements
854,Supervised,0.0565477,Encouragements
855,Supervised,0.549899744,Encouragements
856,Supervised,3.506989607,Encouragements
857,Supervised,6.266016367,Encouragements
858,Supervised,1.47686186,Encouragements
859,Supervised,1.369267602,Encouragements
860,Supervised,7.027510495,Encouragements
861,Supervised,2.930709954,Encouragements
862,Supervised,2.216427061,Encouragements
863,Supervised,3.394114702,Encouragements
864,Supervised,2.037864151,Encouragements
865,Supervised,5.139788424,Encouragements
866,Supervised,3.47111916,Encouragements
867,Supervised,2.885609224,Encouragements
868,Supervised,6.178657969,Encouragements
869,Supervised,1.666066451,Encouragements
870,Supervised,1.621550855,Encouragements
871,Supervised,12.517908416,Encouragements
872,Supervised,2.211682302,Encouragements
873,Supervised,6.636604552,Encouragements
874,Supervised,11.128762768,Encouragements
875,Supervised,0.299578747,Encouragements
876,Supervised,7.289591676,Encouragements
877,Supervised,0.205881568,Encouragements
878,Supervised,6.229136074,Encouragements
879,Supervised,2.209554301,Encouragements
880,Supervised,3.978620804,Encouragements
881,Supervised,6.34637071,Encouragements
882,Supervised,1.648812347,Encouragements
883,Supervised,4.898009035,Encouragements
884,Supervised,2.600841665,Encouragements
885,Supervised,3.347418845,Encouragements
886,Supervised,1.299177368,Encouragements
887,Supervised,15.707593876,Encouragements
888,Supervised,0.469559722,Encouragements
889,Supervised,6.494598818,Encouragements
890,Supervised,3.128971209,Encouragements
891,Supervised,7.752325485,Encouragements
892,Supervised,5.534409132,Encouragements
893,Supervised,4.873175365,Encouragements
894,Supervised,5.297869512,Encouragements
895,Supervised,1.050855905,Encouragements
896,Supervised,2.183248879,Encouragements
897,Supervised,3.32256135,Encouragements
898,Supervised,7.328171733,Encouragements
899,Supervised,0.84912002,Encouragements
900,Supervised,4.730363882,Encouragements
901,Supervised,5.65199414,Encouragements
902,Supervised,9.910549469,Encouragements
903,Supervised,13.280560871,Encouragements
904,Supervised,1.013867749,Encouragements
905,Supervised,1.272600577,Encouragements
906,Supervised,5.749916792,Encouragements
907,Supervised,6.060157267,Encouragements
908,Supervised,4.24497318,Encouragements
909,Supervised,1.692978554,Encouragements
910,Supervised,2.654312479,Encouragements
911,Supervised,0.091101733,Encouragements
912,Supervised,1.756708141,Encouragements
913,Supervised,2.266359556,Encouragements
