,condition,time,type
2214,Supervised,9.507169092,Move close
2215,Supervised,16.268554489,Move close
2216,Supervised,23.419476169,Move close
2217,Supervised,11.325593738,Move close
2218,Supervised,6.983424424,Move close
2219,Supervised,7.823678973,Move close
2220,Supervised,9.871518433,Move close
2221,Supervised,11.238355756,Move close
2222,Supervised,11.605089644,Move close
2223,Supervised,0.515271615,Move close
2224,Supervised,1.41500186,Move close
2225,Supervised,6.059799061,Move close
2226,Supervised,12.545642773,Move close
2227,Supervised,6.464466625,Move close
2228,Supervised,9.21828231,Move close
2229,Supervised,4.990089494,Move close
2230,Supervised,2.500303862,Move close
2231,Supervised,2.615690348,Move close
2232,Supervised,6.867378383,Move close
2233,Supervised,9.059451072,Move close
2234,Supervised,1.938920612,Move close
2235,Supervised,13.297119111,Move close
2236,Supervised,7.737778097,Move close
2237,Supervised,13.284579823,Move close
2238,Supervised,1.135471484,Move close
2239,Supervised,1.421252665,Move close
2240,Supervised,0.692451288,Move close
2241,Supervised,12.060303671,Move close
2242,Supervised,4.134794887,Move close
2243,Supervised,10.801835345,Move close
2244,Supervised,5.482968303,Move close
2245,Supervised,5.513682438,Move close
2246,Supervised,7.210984273,Move close
2247,Supervised,2.150254538,Move close
2248,Supervised,15.08619465,Move close
2249,Supervised,15.225311696,Move close
2250,Supervised,0.60443101,Move close
2251,Supervised,17.722593926,Move close
2252,Supervised,13.865635125,Move close
2253,Supervised,1.079090791,Move close
2254,Supervised,1.40761743,Move close
2255,Supervised,2.243071379,Move close
2256,Supervised,1.88548744,Move close
2257,Supervised,1.372438351,Move close
2258,Supervised,0.390355776,Move close
2259,Supervised,5.885437022,Move close
2260,Supervised,11.274352412,Move close
2261,Supervised,2.614521198,Move close
2262,Supervised,1.603643023,Move close
2263,Supervised,8.369651117,Move close
2264,Supervised,0.301978618,Move close
2265,Supervised,8.217708439,Move close
2266,Supervised,16.544404547,Move close
2267,Supervised,3.71630206,Move close
2268,Supervised,4.373124931,Move close
2269,Supervised,1.194914763,Move close
2270,Supervised,4.027789573,Move close
2271,Supervised,1.497140742,Move close
2272,Supervised,5.552520975,Move close
2273,Supervised,1.03568877,Move close
2274,Supervised,1.013949064,Move close
2275,Supervised,7.048846942,Move close
2276,Supervised,9.253326013,Move close
2277,Supervised,2.352025059,Move close
2278,Supervised,32.912118478,Move close
2279,Supervised,1.383922255,Move close
2280,Supervised,15.867134045,Move close
2281,Supervised,3.373670701,Move close
2282,Supervised,7.307792032,Move close
2283,Supervised,3.726071109,Move close
2284,Supervised,1.919392038,Move close
2285,Supervised,0.440332803,Move close
2286,Supervised,1.318109934,Move close
2287,Supervised,1.413476809,Move close
2288,Supervised,6.197653299,Move close
2289,Supervised,29.296080682,Move close
2290,Supervised,0.175729985,Move close
2291,Supervised,8.712931398,Move close
2292,Supervised,0.454337092,Move close
2293,Supervised,13.371634111,Move close
2294,Supervised,10.026097903,Move close
2295,Supervised,5.030599767,Move close
2296,Supervised,2.441283511,Move close
2297,Supervised,9.223893462,Move close
2298,Supervised,1.887773511,Move close
2299,Supervised,11.731000816,Move close
2300,Supervised,0.290119014,Move close
2301,Supervised,0.452641338,Move close
2302,Supervised,1.510789734,Move close
2303,Supervised,0.686376932,Move close
2304,Supervised,3.001332188,Move close
2305,Supervised,2.613468235,Move close
2306,Supervised,2.875073567,Move close
2307,Supervised,11.116469253,Move close
2308,Supervised,2.774256273,Move close
2309,Supervised,2.353553968,Move close
2310,Supervised,11.051106609,Move close
2311,Supervised,0.138931817,Move close
2312,Supervised,18.156241742,Move close
2313,Supervised,0.248767763,Move close
2314,Supervised,0.989715916,Move close
2315,Supervised,1.101752452,Move close
2316,Supervised,1.433541848,Move close
2317,Supervised,8.374629686,Move close
2318,Supervised,3.334853143,Move close
2319,Supervised,2.89355281,Move close
2320,Supervised,2.281325787,Move close
2321,Supervised,2.370423942,Move close
2322,Supervised,12.524381675,Move close
2323,Supervised,0.167812275,Move close
2324,Supervised,0.51321871,Move close
2325,Supervised,9.603573226,Move close
2326,Supervised,6.256977307,Move close
2327,Supervised,0.077052163,Move close
2328,Supervised,4.875156734,Move close
2329,Supervised,13.953815319,Move close
2330,Supervised,2.171797457,Move close
2331,Supervised,6.901381996,Move close
2332,Supervised,8.021751618,Move close
2333,Supervised,0.034359634,Move close
2334,Supervised,2.962979187,Move close
2335,Supervised,1.097643467,Move close
2336,Supervised,2.908529763,Move close
2337,Supervised,20.528577526,Move close
2338,Supervised,4.899529237,Move close
2339,Supervised,2.865839249,Move close
2340,Supervised,4.211800733,Move close
2341,Supervised,8.711417465,Move close
2342,Supervised,1.674621493,Move close
2343,Supervised,12.829365274,Move close
2344,Supervised,1.053497552,Move close
2345,Supervised,3.014830437,Move close
2346,Supervised,9.336105691,Move close
2347,Supervised,5.409129928,Move close
2348,Supervised,1.351965029,Move close
2349,Supervised,8.519536308,Move close
2350,Supervised,7.594296164,Move close
2351,Supervised,9.713070475,Move close
2352,Supervised,17.702728536,Move close
2353,Supervised,9.418376961,Move close
2354,Supervised,17.484774047,Move close
2355,Supervised,10.828023769,Move close
2356,Supervised,17.40965191,Move close
2357,Supervised,1.647513524,Move close
2358,Supervised,5.536429891,Move close
2359,Supervised,1.849236677,Move close
2360,Supervised,0.21092244,Move close
2361,Supervised,9.661162919,Move close
2362,Supervised,4.703857882,Move close
2363,Supervised,16.391978181,Move close
