,condition,time,type
1626,Supervised,2.746772605,Remind rules
1627,Supervised,12.438781406,Remind rules
1628,Supervised,4.965174042,Remind rules
1629,Supervised,4.998805295,Remind rules
1630,Supervised,0.770184632,Remind rules
1631,Supervised,4.236934578,Remind rules
1632,Supervised,0.884940393,Remind rules
1633,Supervised,4.818093134,Remind rules
1634,Supervised,1.456875136,Remind rules
1635,Supervised,2.982752444,Remind rules
1636,Supervised,1.333829176,Remind rules
1637,Supervised,1.475007759,Remind rules
1638,Supervised,4.861352459,Remind rules
1639,Supervised,5.131214104,Remind rules
1640,Supervised,0.758098533,Remind rules
1641,Supervised,0.445879373,Remind rules
1642,Supervised,1.518789885,Remind rules
1643,Supervised,2.351231143,Remind rules
1644,Supervised,1.466131465,Remind rules
1645,Supervised,0.208598746,Remind rules
1646,Supervised,0.803377058,Remind rules
1647,Supervised,1.802114859,Remind rules
1648,Supervised,19.467753067,Remind rules
1649,Supervised,1.38631879,Remind rules
1650,Supervised,2.056490102,Remind rules
1651,Supervised,0.217910731,Remind rules
1652,Supervised,4.082022624,Remind rules
1653,Supervised,2.211405635,Remind rules
1654,Supervised,3.29327061,Remind rules
1655,Supervised,2.327871993,Remind rules
1656,Supervised,0.226011697,Remind rules
1657,Supervised,0.656390912,Remind rules
1658,Supervised,0.380964851,Remind rules
1659,Supervised,0.539105102,Remind rules
1660,Supervised,1.127997693,Remind rules
1661,Supervised,21.811033553,Remind rules
1662,Supervised,2.46650861,Remind rules
1663,Supervised,0.957267371,Remind rules
1664,Supervised,1.838113315,Remind rules
1665,Supervised,4.275606954,Remind rules
1666,Supervised,3.584706082,Remind rules
1667,Supervised,8.744935231,Remind rules
1668,Supervised,3.459295564,Remind rules
1669,Supervised,4.804195983,Remind rules
1670,Supervised,3.058210943,Remind rules
1671,Supervised,3.598894758,Remind rules
1672,Supervised,2.2270512,Remind rules
1673,Supervised,10.361541015,Remind rules
1674,Supervised,4.075661497,Remind rules
1675,Supervised,2.097675652,Remind rules
1676,Supervised,1.739580913,Remind rules
1677,Supervised,2.224831219,Remind rules
1678,Supervised,0.651766838,Remind rules
1679,Supervised,1.074689442,Remind rules
1680,Supervised,0.106172544,Remind rules
1681,Supervised,0.532607427,Remind rules
1682,Supervised,2.236738255,Remind rules
1683,Supervised,1.707339653,Remind rules
1684,Supervised,2.857286484,Remind rules
1685,Supervised,0.840172495,Remind rules
1686,Supervised,2.143487353,Remind rules
1687,Supervised,3.931823831,Remind rules
1688,Supervised,1.312018755,Remind rules
1689,Supervised,0.327383422,Remind rules
1690,Supervised,2.328236146,Remind rules
1691,Supervised,0.805184608,Remind rules
1692,Supervised,2.350669895,Remind rules
1693,Supervised,1.968137707,Remind rules
1694,Supervised,0.585760851,Remind rules
1695,Supervised,1.127263519,Remind rules
1696,Supervised,2.789257496,Remind rules
1697,Supervised,0.2639427,Remind rules
1698,Supervised,2.77808771,Remind rules
1699,Supervised,0.700586348,Remind rules
1700,Supervised,1.976355154,Remind rules
1701,Supervised,0.927178242,Remind rules
1702,Supervised,2.328307348,Remind rules
1703,Supervised,0.116577888,Remind rules
1704,Supervised,0.611158455,Remind rules
1705,Supervised,1.979785079,Remind rules
1706,Supervised,1.721842941,Remind rules
1707,Supervised,1.941741785,Remind rules
1708,Supervised,0.571961862,Remind rules
1709,Supervised,4.988556043,Remind rules
1710,Supervised,4.516962953,Remind rules
1711,Supervised,0.175039317,Remind rules
1712,Supervised,2.174126315,Remind rules
1713,Supervised,1.353585402,Remind rules
1714,Supervised,1.466392018,Remind rules
1715,Supervised,2.397995991,Remind rules
1716,Supervised,0.964443209,Remind rules
1717,Supervised,1.690312139,Remind rules
1718,Supervised,7.193789459,Remind rules
1719,Supervised,9.479961666,Remind rules
1720,Supervised,3.155278188,Remind rules
1721,Supervised,3.718750598,Remind rules
1722,Supervised,2.196174121,Remind rules
1723,Supervised,1.661633991,Remind rules
1724,Supervised,1.181429879,Remind rules
1725,Supervised,2.478228496,Remind rules
1726,Supervised,2.656209757,Remind rules
1727,Supervised,2.590040132,Remind rules
1728,Supervised,6.366718314,Remind rules
1729,Supervised,2.827814873,Remind rules
1730,Supervised,1.722148812,Remind rules
1731,Supervised,5.365298864,Remind rules
1732,Supervised,1.205660299,Remind rules
1733,Supervised,5.772641658,Remind rules
1734,Supervised,2.454548057,Remind rules
1735,Supervised,3.005019347,Remind rules
1736,Supervised,1.331711087,Remind rules
1737,Supervised,2.033143475,Remind rules
1738,Supervised,0.279909715,Remind rules
1739,Supervised,2.430985518,Remind rules
1740,Supervised,2.425989509,Remind rules
1741,Autonomous,0.252141018,Remind rules
1742,Autonomous,0.187065465,Remind rules
1743,Autonomous,3.801768439,Remind rules
1744,Autonomous,0.339045212,Remind rules
1745,Autonomous,5.272047189,Remind rules
1746,Autonomous,2.488518248,Remind rules
1747,Autonomous,1.78963108,Remind rules
1748,Autonomous,0.631364998,Remind rules
1749,Autonomous,1.059815135,Remind rules
1750,Autonomous,2.243084373,Remind rules
1751,Autonomous,1.551978491,Remind rules
1752,Autonomous,1.038558559,Remind rules
1753,Autonomous,2.791661154,Remind rules
1754,Autonomous,16.092019075,Remind rules
1755,Autonomous,1.68062034,Remind rules
1756,Autonomous,1.902705495,Remind rules
1757,Autonomous,1.451487452,Remind rules
1758,Autonomous,4.142717951,Remind rules
1759,Autonomous,0.160243512,Remind rules
1760,Autonomous,2.359661359,Remind rules
1761,Autonomous,3.650568087,Remind rules
1762,Autonomous,6.677562247,Remind rules
1763,Autonomous,2.299311287,Remind rules
1764,Autonomous,2.374019275,Remind rules
1765,Autonomous,4.383714671,Remind rules
1766,Autonomous,2.916079746,Remind rules
1767,Autonomous,1.597183142,Remind rules
1768,Autonomous,0.680904394,Remind rules
1769,Autonomous,4.548052477,Remind rules
1770,Autonomous,1.777662889,Remind rules
1771,Autonomous,2.407347278,Remind rules
1772,Autonomous,0.84524927,Remind rules
1773,Autonomous,0.007178353,Remind rules
1774,Autonomous,2.839751995,Remind rules
1775,Autonomous,4.373630395,Remind rules
1776,Autonomous,1.859145854,Remind rules
1777,Autonomous,0.334840986,Remind rules
1778,Autonomous,3.340070957,Remind rules
1779,Autonomous,1.160345195,Remind rules
1780,Autonomous,0.580473746,Remind rules
1781,Autonomous,5.113840962,Remind rules
1782,Autonomous,1.169244109,Remind rules
1783,Autonomous,4.003004768,Remind rules
1784,Autonomous,3.572197289,Remind rules
1785,Autonomous,2.633286039,Remind rules
1786,Autonomous,0.185855407,Remind rules
1787,Autonomous,0.866447221,Remind rules
1788,Autonomous,0.698575046,Remind rules
1789,Autonomous,3.840415227,Remind rules
1790,Autonomous,2.082824769,Remind rules
1791,Autonomous,1.141279849,Remind rules
1792,Autonomous,1.855423368,Remind rules
1793,Autonomous,3.645317469,Remind rules
1794,Autonomous,1.488512941,Remind rules
1795,Autonomous,2.176125539,Remind rules
1796,Autonomous,0.839058434,Remind rules
1797,Autonomous,1.156640598,Remind rules
1798,Autonomous,4.94376079,Remind rules
1799,Autonomous,1.923700514,Remind rules
1800,Autonomous,21.872731768,Remind rules
1801,Autonomous,3.226710906,Remind rules
1802,Autonomous,2.266857126,Remind rules
1803,Autonomous,2.698526406,Remind rules
1804,Autonomous,10.02870697,Remind rules
1805,Autonomous,1.793120115,Remind rules
1806,Autonomous,0.452010549,Remind rules
1807,Autonomous,0.709020618,Remind rules
1808,Autonomous,6.394196314,Remind rules
1809,Autonomous,0.51544387,Remind rules
1810,Autonomous,10.16916794,Remind rules
1811,Autonomous,3.526366905,Remind rules
1812,Autonomous,2.205743557,Remind rules
1813,Autonomous,2.085571194,Remind rules
1814,Autonomous,1.259429883,Remind rules
1815,Autonomous,2.560485526,Remind rules
1816,Autonomous,5.184685293,Remind rules
1817,Autonomous,2.480147561,Remind rules
1818,Autonomous,3.298135492,Remind rules
1819,Autonomous,0.846740468,Remind rules
1820,Autonomous,14.68728005,Remind rules
1821,Autonomous,0.804522417,Remind rules
1822,Autonomous,1.714410764,Remind rules
1823,Autonomous,1.312630067,Remind rules
1824,Autonomous,1.068783188,Remind rules
1825,Autonomous,1.613402585,Remind rules
1826,Autonomous,5.792306712,Remind rules
1827,Autonomous,1.292212227,Remind rules
1828,Autonomous,3.041454482,Remind rules
1829,Autonomous,11.944504451,Remind rules
1830,Autonomous,0.709112515,Remind rules
1831,Autonomous,2.214179387,Remind rules
1832,Autonomous,1.165754198,Remind rules
1833,Autonomous,2.194451751,Remind rules
1834,Autonomous,1.520720699,Remind rules
1835,Autonomous,3.76689646,Remind rules
1836,Autonomous,6.378838985,Remind rules
1837,Autonomous,1.113632257,Remind rules
1838,Autonomous,5.662258913,Remind rules
1839,Autonomous,1.402239308,Remind rules
1840,Autonomous,1.00587742,Remind rules
1841,Autonomous,6.883380587,Remind rules
1842,Autonomous,1.478870767,Remind rules
1843,Autonomous,1.721632003,Remind rules
1844,Autonomous,13.594363558,Remind rules
1845,Autonomous,1.981980082,Remind rules
1846,Autonomous,0.511840733,Remind rules
1847,Autonomous,5.510829631,Remind rules
1848,Autonomous,2.771490174,Remind rules
1849,Autonomous,2.245389104,Remind rules
1850,Autonomous,1.950644167,Remind rules
1851,Autonomous,1.199381689,Remind rules
1852,Autonomous,0.952282352,Remind rules
1853,Autonomous,0.528009147,Remind rules
1854,Autonomous,0.534706755,Remind rules
1855,Autonomous,1.406214124,Remind rules
1856,Autonomous,6.406879741,Remind rules
1857,Autonomous,2.948570238,Remind rules
1858,Autonomous,0.629948225,Remind rules
1859,Autonomous,0.687303569,Remind rules
1860,Autonomous,0.506357737,Remind rules
1861,Autonomous,4.94495456,Remind rules
