,age,condition,gender,learning,d_eat1,d_eat2,d_eat3,d_eat4,time1,time2,time3,time4,att,mvc,mva,mvt,congrats,encour,rul
0,9,Passive,female,-0.0046728972,11,11,6,7,2.2505666667,1.9001833333,0.8176666667,0.6694833333,0,0,0,0,0,0,0
1,8,Passive,male,0.0633187773,5,4,12,10,1.7000666667,1.1709166667,1.9439166667,1.8507833333,0,0,0,0,0,0,0
2,8,Passive,male,0.1547344111,9,8,15,11,2.1822,2.2505166667,1.71715,1.65615,0,0,0,0,0,0,0
3,8,Passive,female,0.0710059172,11,11,13,8,2.2501333333,1.96025,2.1337666667,2.2499166667,0,0,0,0,0,0,0
4,8,Passive,male,0.2083333333,2,6,12,11,2.2502833333,2.06235,2.2498833333,1.7673666667,0,0,0,0,0,0,0
5,8,Passive,male,0.0974358974,7,5,5,10,0.92915,0.5421333333,0.5637666667,1.40005,0,0,0,0,0,0,0
6,10,Passive,female,0.1283950617,9,8,10,11,1.7166666667,1.3454,1.2973166667,1.7174166667,0,0,0,0,0,0,0
7,10,Passive,female,0.0262467192,10,8,8,11,1.1667,1.71685,1.7166666667,1.3610666667,0,0,0,0,0,0,0
8,10,Passive,female,0.2030905077,5,4,3,3,0.8571,0.7124333333,0.4424,0.5836,0,0,0,0,0,0,0
9,9,Passive,male,0.2683982684,8,13,16,13,1.30825,1.9835833333,2.1214333333,1.7931166667,0,0,0,0,0,0,0
10,9,Passive,male,-0.0519480519,4,6,11,12,1.7169666667,2.2506166667,1.5837833333,1.4501166667,0,0,0,0,0,0,0
11,10,Passive,male,0.2787286064,7,13,14,9,1.3336166667,2.0747666667,1.93355,1.6853666667,0,0,0,0,0,0,0
12,9,Passive,male,-0.0883116883,6,6,7,6,0.8159833333,0.7188333333,1.0207833333,0.6420666667,0,0,0,0,0,0,0
13,8,Passive,female,0.1266968326,7,6,9,9,2.1151166667,1.4117666667,1.52285,1.7499666667,0,0,0,0,0,0,0
14,10,Passive,male,0.3812154696,11,12,12,14,1.8522833333,2.3169833333,2.23345,2.6174833333,0,0,0,0,0,0,0
15,9,Passive,male,0.1558441558,4,4,4,6,0.9374833333,0.9601333333,0.45955,0.8149666667,0,0,0,0,0,0,0
16,9,Passive,female,0.1102564103,5,12,11,6,1.1668,1.4406166667,1.4865833333,0.8004333333,0,0,0,0,0,0,0
17,9,Passive,male,-0.2212643678,8,6,11,7,2.2502166667,2.25015,2.1186,2.2501666667,0,0,0,0,0,0,0
18,10,Passive,female,0.1850828729,9,9,8,11,1.3018666667,1.7454833333,2.2501666667,2.2505,0,0,0,0,0,0,0
19,9,Passive,female,0.1272189349,5,10,10,8,1.16745,1.7769333333,1.6334666667,2.1176833333,0,0,0,0,0,0,0
20,10,Passive,female,0.3359580052,9,7,11,15,1.7665166667,2.0904166667,2.23775,1.7857833333,0,0,0,0,0,0,0
21,10,Passive,male,-0.0227848101,6,9,10,10,1.866,1.5602,2.2507,2.6332166667,0,0,0,0,0,0,0
22,9,Passive,female,0.316091954,11,10,13,15,1.2841,1.4535333333,1.495,1.4827666667,0,0,0,0,0,0,0
23,10,Passive,male,0.0403225806,16,11,12,10,2.4025833333,2.5332,2.4781,2.7203833333,0,0,0,0,0,0,0
24,10,Passive,female,0.1292682927,7,12,8,12,1.47765,1.70025,1.7166,2.2503666667,0,0,0,0,0,0,0
25,8,Supervised,male,-0.0700483092,5,9,9,10,2.2502666667,2.21035,1.41085,1.9640166667,2,11,0,0,22,14,15
26,10,Supervised,male,0.1980440098,8,5,6,10,1.2666333333,0.931,0.7985666667,1.7357166667,5,5,0,0,14,9,7
27,10,Supervised,male,-0.055393586,10,10,9,10,1.8500666667,1.9629,1.5689,1.84605,5,12,1,0,21,21,16
28,10,Supervised,male,0.1307901907,11,10,13,13,2.4002166667,2.5266333333,2.8914333333,2.51665,18,16,0,0,31,22,14
